timestamp(ms),GPA[0].HAcc,GPS[0].NSats
212883.34600000002,0.57,20
212983.34600000002,0.57,20
213083.34600000002,0.57,19
213183.34600000002,0.57,19
213283.34600000002,0.57,20
213383.34600000002,0.57,20
213483.34600000002,0.57,22
213583.34600000002,0.57,22
213683.34600000002,0.57,20
213783.34600000002,0.57,20
213883.34600000002,0.57,21
213983.34600000002,0.57,21
214083.34600000002,0.57,21
214183.34600000002,0.57,21
214283.34600000002,0.57,20
214383.34600000002,0.57,20
214483.34600000002,0.57,20
214583.34600000002,0.57,20
214683.34600000002,0.57,20
214783.34600000002,0.57,20
214883.34600000002,0.57,21
214983.34600000002,0.57,21
215083.34600000002,0.57,21
215183.34600000002,0.57,21
215283.34600000002,0.57,21
215383.34600000002,0.57,21
215483.34600000002,0.57,19
215583.34600000002,0.57,19
215683.34600000002,0.57,19
215783.34600000002,0.57,19
215883.34600000002,0.57,20
215983.34600000002,0.57,20
216083.34600000002,0.57,20
216183.34600000002,0.57,20
216283.34600000002,0.57,20
216383.34600000002,0.57,20
216483.34600000002,0.57,18
216583.34600000002,0.57,18
216683.34600000002,0.57,19
216783.34600000002,0.57,19
216883.34600000002,0.57,20
216983.34600000002,0.57,20
217083.34600000002,0.57,20
217183.34600000002,0.57,20
217283.34600000002,0.57,18
217383.34600000002,0.57,18
217483.34600000002,0.57,18
217583.34600000002,0.57,18
217683.34600000002,0.57,19
217783.34600000002,0.57,19
217883.34600000002,0.57,20
217983.34600000002,0.57,20
218083.34600000002,0.57,20
218183.34600000002,0.57,20
218283.34600000002,0.57,21
218383.34600000002,0.57,21
218483.34600000002,0.57,20
218583.34600000002,0.57,20
218683.34600000002,0.57,20
218783.34600000002,0.57,20
218883.34600000002,0.57,20
218983.34600000002,0.57,20
219083.34600000002,0.57,20
219183.34600000002,0.57,20
219283.34600000002,0.57,19
219383.34600000002,0.57,19
219483.34600000002,0.57,19
219583.34600000002,0.57,19
219683.34600000002,0.57,19
219783.34600000002,0.57,19
219883.34600000002,0.57,20
219983.34600000002,0.57,20
220083.34600000002,0.57,20
220183.34600000002,0.57,20
220283.34600000002,0.57,19
220383.34600000002,0.57,19
220483.34600000002,0.57,18
220583.34600000002,0.57,18
220683.34600000002,0.57,19
220783.34600000002,0.57,19
220883.34600000002,0.57,20
220983.34600000002,0.57,20
221083.34600000002,0.57,19
221183.34600000002,0.57,19
221283.34600000002,0.57,20
221383.34600000002,0.57,20
221483.34600000002,0.57,20
221583.34600000002,0.57,20
221683.34600000002,0.57,19
221783.34600000002,0.57,19
221883.34600000002,0.57,18
221983.34600000002,0.57,18
222083.34600000002,0.57,20
222183.34600000002,0.57,20
222283.34600000002,0.57,20
222383.34600000002,0.57,20
222483.34600000002,0.57,18
222583.34600000002,0.57,18
222683.34600000002,0.57,19
222783.34600000002,0.57,19
222883.34600000002,0.57,19
222983.34600000002,0.57,19
223083.34600000002,0.57,20
223183.34600000002,0.57,20
223283.34600000002,0.57,20
223383.34600000002,0.57,20
223483.34600000002,0.57,20
223583.34600000002,0.57,20
223683.34600000002,0.57,21
223783.34600000002,0.57,21
223883.34600000002,0.57,21
223983.34600000002,0.57,21
224083.34600000002,0.57,21
224183.34600000002,0.57,21
224283.34600000002,0.57,19
224383.34600000002,0.57,19
224483.34600000002,0.57,20
224583.34600000002,0.57,20
224683.34600000002,0.57,20
224783.34600000002,0.57,20
224883.34600000002,0.57,21
224983.34600000002,0.57,21
225083.34600000002,0.57,21
225183.34600000002,0.57,21
225283.34600000002,0.57,21
225383.34600000002,0.57,21
225483.34600000002,0.57,21
225583.34600000002,0.57,21
225683.34600000002,0.57,20
225783.34600000002,0.57,20
225883.34600000002,0.57,20
225983.34600000002,0.57,20
226083.34600000002,0.57,19
226183.34600000002,0.57,19
226283.34600000002,0.57,20
226383.34600000002,0.57,20
226483.34600000002,0.57,20
226583.34600000002,0.57,20
226683.34600000002,0.57,20
226783.34600000002,0.57,20
226883.34600000002,0.57,19
226983.34600000002,0.57,19
227083.34600000002,0.57,20
227183.34600000002,0.57,20
227283.34600000002,0.57,19
227383.34600000002,0.57,19
227483.34600000002,0.57,21
227583.34600000002,0.57,21
227683.34600000002,0.57,21
227783.34600000002,0.57,21
227883.34600000002,0.57,22
227983.34600000002,0.57,22
228083.34600000002,0.57,21
228183.34600000002,0.57,21
228283.34600000002,0.57,20
228383.34600000002,0.57,20
228483.34600000002,0.57,20
228583.34600000002,0.57,20
228683.34600000002,0.57,21
228783.34600000002,0.57,21
228883.34600000002,0.57,21
228983.34600000002,0.57,21
229083.34600000002,0.57,21
229183.34600000002,0.57,21
229283.34600000002,0.57,21
229383.34600000002,0.57,21
229483.34600000002,0.57,20
229583.34600000002,0.57,20
229683.34600000002,0.57,20
229783.34600000002,0.57,20
229883.34600000002,0.57,20
229983.34600000002,0.57,20
230083.34600000002,0.57,20
230183.34600000002,0.57,20
230283.34600000002,0.57,21
230383.34600000002,0.57,21
230483.34600000002,0.57,20
230583.34600000002,0.57,20
230683.34600000002,0.57,22
230783.34600000002,0.57,22
230883.34600000002,0.57,21
230983.34600000002,0.57,21
231083.34600000002,0.57,21
231183.34600000002,0.57,21
231283.34600000002,0.57,21
231383.34600000002,0.57,21
231483.34600000002,0.57,20
231583.34600000002,0.57,20
231683.34600000002,0.58,21
231783.34600000002,0.58,21
231883.34600000002,0.58,20
231983.34600000002,0.58,20
232083.34600000002,0.58,21
232183.34600000002,0.58,21
232283.34600000002,0.58,22
232383.34600000002,0.58,22
232483.34600000002,0.58,22
232583.34600000002,0.58,22
232683.34600000002,0.58,22
232783.34600000002,0.58,22
232883.34600000002,0.58,22
232983.34600000002,0.58,22
233083.34600000002,0.58,21
233183.34600000002,0.58,21
233283.34600000002,0.58,19
233383.34600000002,0.58,19
233483.34600000002,0.58,18
233583.34600000002,0.58,18
233683.34600000002,0.58,18
233783.34600000002,0.58,18
233883.34600000002,0.58,19
233983.34600000002,0.58,19
234083.34600000002,0.58,20
234183.34600000002,0.58,20
234283.34600000002,0.58,19
234383.34600000002,0.58,19
234483.34600000002,0.58,20
234583.34600000002,0.58,20
234683.34600000002,0.58,21
234783.34600000002,0.58,21
234883.34600000002,0.58,21
234983.34600000002,0.58,21
235083.34600000002,0.58,20
235183.34600000002,0.58,20
235283.34600000002,0.58,20
235383.34600000002,0.58,20
235483.34600000002,0.58,22
235583.34600000002,0.58,22
235683.34600000002,0.58,21
235783.34600000002,0.58,21
235883.34600000002,0.58,19
235983.34600000002,0.58,19
236083.34600000002,0.58,20
236183.34600000002,0.58,20
236283.34600000002,0.58,21
236383.34600000002,0.58,21
