timestamp(ms),RFND[0].Dist
1151678.2008873927,1.8
1151778.2008873927,1.83
1151878.2008873927,1.84
1151978.2008873927,1.89
1152078.2008873927,1.73
1152178.2008873927,1.76
1152278.2008873927,1.8
1152378.2008873927,1.8
1152478.2008873927,1.8
1152578.2008873927,1.81
1152678.2008873927,1.91
1152778.2008873927,1.8
1152878.2008873927,1.81
1152978.2008873927,1.95
1153078.2008873927,1.95
1153178.2008873927,1.87
1153278.2008873927,1.93
1153378.2008873927,1.84
1153478.2008873927,1.93
1153578.2008873927,1.87
1153678.2008873927,1.82
1153778.2008873927,1.86
1153878.2008873927,1.93
1153978.2008873927,1.9
1154078.2008873927,1.9
1154178.2008873927,1.87
1154278.2008873927,1.44
1154378.2008873927,1.84
1154478.2008873927,1.91
1154578.2008873927,1.91
1154678.2008873927,1.91
1154778.2008873927,1.99
1154878.2008873927,1.89
1154978.2008873927,1.81
1155078.2008873927,2
1155178.2008873927,2.09
1155278.2008873927,1.9
1155378.2008873927,1.84
1155478.2008873927,1.87
1155578.2008873927,1.88
1155678.2008873927,1.86
1155778.2008873927,1.84
1155878.2008873927,1.84
1155978.2008873927,1.91
1156078.2008873927,1.91
1156178.2008873927,1.91
1156278.2008873927,1.91
1156378.2008873927,1.91
1156478.2008873927,1.91
1156578.2008873927,1.91
1156678.2008873927,2.02
1156778.2008873927,1.9
1156878.2008873927,1.9
1156978.2008873927,1.9
1157078.2008873927,1.92
1157178.2008873927,1.89
1157278.2008873927,1.85
1157378.2008873927,1.83
1157478.2008873927,1.9
1157578.2008873927,1.9
1157678.2008873927,1.85
1157778.2008873927,1.8
1157878.2008873927,1.89
1157978.2008873927,1.84
1158078.2008873927,1.9
1158178.2008873927,1.8
1158278.2008873927,1.84
1158378.2008873927,2.04
1158478.2008873927,1.84
1158578.2008873927,1.81
1158678.2008873927,1.79
1158778.2008873927,1.81
1158878.2008873927,1.94
1158978.2008873927,1.84
1159078.2008873927,1.85
1159178.2008873927,1.85
1159278.2008873927,1.88
1159378.2008873927,1.95
1159478.2008873927,1.8
1159578.2008873927,1.83
1159678.2008873927,1.76
1159778.2008873927,1.91
1159878.2008873927,1.85
1159978.2008873927,1.84
1160078.2008873927,1.84
1160178.2008873927,1.94
1160278.2008873927,1.81
1160378.2008873927,1.77
1160478.2008873927,1.78
1160578.2008873927,1.78
1160678.2008873927,1.8
1160778.2008873927,1.74
1160878.2008873927,1.78
1160978.2008873927,1.72
1161078.2008873927,1.95
1161178.2008873927,1.73
1161278.2008873927,1.75
1161378.2008873927,1.73
1161478.2008873927,1.83
1161578.2008873927,2.01
1161678.2008873927,1.79
1161778.2008873927,1.73
1161878.2008873927,1.71
1161978.2008873927,1.75
1162078.2008873927,1.73
1162178.2008873927,1.92
1162278.2008873927,1.67
1162378.2008873927,1.71
1162478.2008873927,1.66
1162578.2008873927,1.66
1162678.2008873927,1.61
1162778.2008873927,1.56
1162878.2008873927,1.58
1162978.2008873927,1.49
1163078.2008873927,1.52
1163178.2008873927,1.49
1163278.2008873927,1.45
1163378.2008873927,1.47
1163478.2008873927,1.41
1163578.2008873927,1.4
1163678.2008873927,1.44
1163778.2008873927,1.42
1163878.2008873927,1.36
1163978.2008873927,1.36
1164078.2008873927,1.57
1164178.2008873927,1.41
1164278.2008873927,1.48
1164378.2008873927,1.38
1164478.2008873927,1.39
1164578.2008873927,1.4
1164678.2008873927,1.46
1164778.2008873927,1.35
1164878.2008873927,1.4
1164978.2008873927,1.4
1165078.2008873927,1.4
1165178.2008873927,1.35
1165278.2008873927,1.46
1165378.2008873927,1.4
1165478.2008873927,1.44
1165578.2008873927,1.44
1165678.2008873927,1.44
1165778.2008873927,1.41
1165878.2008873927,1.45
1165978.2008873927,1.49
1166078.2008873927,1.59
1166178.2008873927,1.42
1166278.2008873927,1.49
1166378.2008873927,1.47
1166478.2008873927,1.48
1166578.2008873927,1.49
1166678.2008873927,1.49
1166778.2008873927,1.51
1166878.2008873927,1.61
1166978.2008873927,1.5
1167078.2008873927,1.48
1167178.2008873927,1.57
1167278.2008873927,1.47
1167378.2008873927,1.51
1167478.2008873927,1.53
1167578.2008873927,1.59
1167678.2008873927,1.52
1167778.2008873927,1.56
1167878.2008873927,1.53
1167978.2008873927,1.57
1168078.2008873927,1.58
1168178.2008873927,1.55
1168278.2008873927,1.57
1168378.2008873927,1.62
1168478.2008873927,1.59
1168578.2008873927,1.6
1168678.2008873927,1.72
1168778.2008873927,1.71
1168878.2008873927,1.77
1168978.2008873927,1.67
1169078.2008873927,1.76
1169178.2008873927,1.68
1169278.2008873927,1.79
1169378.2008873927,1.76
1169478.2008873927,1.71
1169578.2008873927,1.72
1169678.2008873927,1.68
1169778.2008873927,1.79
1169878.2008873927,1.91
1169978.2008873927,1.8
1170078.2008873927,1.77
1170178.2008873927,1.77
1170278.2008873927,1.72
1170378.2008873927,1.92
1170478.2008873927,1.92
1170578.2008873927,1.92
1170678.2008873927,1.78
1170778.2008873927,1.88
1170878.2008873927,1.79
1170978.2008873927,1.76
1171078.2008873927,1.8
1171178.2008873927,1.82
1171278.2008873927,1.79
1171378.2008873927,1.84
1171478.2008873927,1.79
1171578.2008873927,1.86
1171678.2008873927,1.77
1171778.2008873927,1.83
1171878.2008873927,1.82
1171978.2008873927,1.82
1172078.2008873927,1.82
1172178.2008873927,1.85
1172278.2008873927,1.74
1172378.2008873927,1.8
1172478.2008873927,1.77
1172578.2008873927,1.77
1172678.2008873927,1.79
1172778.2008873927,1.82
1172878.2008873927,1.77
1172978.2008873927,1.79
1173078.2008873927,1.79
1173178.2008873927,1.79
1173278.2008873927,1.87
1173378.2008873927,1.92
1173478.2008873927,1.88
1173578.2008873927,1.87
1173678.2008873927,2
1173778.2008873927,1.92
1173878.2008873927,1.94
1173978.2008873927,1.88
1174078.2008873927,1.87
1174178.2008873927,1.83
1174278.2008873927,1.85
1174378.2008873927,1.83
1174478.2008873927,1.9
1174578.2008873927,1.85
1174678.2008873927,1.86
1174778.2008873927,1.86
1174878.2008873927,1.86
1174978.2008873927,1.89
1175078.2008873927,1.89
1175178.2008873927,1.96
1175278.2008873927,1.94
1175378.2008873927,1.92
1175478.2008873927,1.93
1175578.2008873927,1.93
1175678.2008873927,1.94
1175778.2008873927,2.12
1175878.2008873927,1.95
1175978.2008873927,1.96
1176078.2008873927,1.95
1176178.2008873927,1.95
1176278.2008873927,1.95
1176378.2008873927,1.91
1176478.2008873927,1.91
1176578.2008873927,1.91
1176678.2008873927,2.03
1176778.2008873927,2.05
1176878.2008873927,2.05
1176978.2008873927,2.05
1177078.2008873927,1.99
1177178.2008873927,2.15
1177278.2008873927,2
1177378.2008873927,2.04
1177478.2008873927,2.1
1177578.2008873927,2.1
1177678.2008873927,2.1
1177778.2008873927,2.1
1177878.2008873927,2.1
1177978.2008873927,2.15
1178078.2008873927,2.02
1178178.2008873927,2.05
1178278.2008873927,2.18
1178378.2008873927,2.18
1178478.2008873927,2.18
1178578.2008873927,2.09
1178678.2008873927,2.22
1178778.2008873927,2.22
1178878.2008873927,2.22
1178978.2008873927,2.13
1179078.2008873927,2.09
1179178.2008873927,2.09
1179278.2008873927,2.09
1179378.2008873927,2.09
1179478.2008873927,2.23
1179578.2008873927,2.09
1179678.2008873927,2.1
1179778.2008873927,2.13
1179878.2008873927,2.13
1179978.2008873927,2.06
1180078.2008873927,2.04
1180178.2008873927,2.12
1180278.2008873927,2.3
1180378.2008873927,2.3
1180478.2008873927,2.3
1180578.2008873927,2.03
1180678.2008873927,2.03
1180778.2008873927,2.09
1180878.2008873927,2.07
1180978.2008873927,2.02
1181078.2008873927,2.09
1181178.2008873927,2.01
1181278.2008873927,1.99
1181378.2008873927,1.99
1181478.2008873927,1.99
1181578.2008873927,2.05
1181678.2008873927,2.06
1181778.2008873927,2.06
1181878.2008873927,2.13
1181978.2008873927,2.04
1182078.2008873927,2.13
1182178.2008873927,2.1
1182278.2008873927,2.04
1182378.2008873927,2.03
1182478.2008873927,2.17
1182578.2008873927,2.17
1182678.2008873927,2.17
1182778.2008873927,2.08
1182878.2008873927,2.12
1182978.2008873927,2.05
1183078.2008873927,2.13
1183178.2008873927,2.08
1183278.2008873927,2.12
1183378.2008873927,2.08
1183478.2008873927,2.07
1183578.2008873927,2.07
1183678.2008873927,2.07
1183778.2008873927,2.07
1183878.2008873927,2.07
1183978.2008873927,2.21
1184078.2008873927,2.14
1184178.2008873927,2.26
1184278.2008873927,2.14
1184378.2008873927,2.24
1184478.2008873927,2.14
1184578.2008873927,2.12
1184678.2008873927,2.13
1184778.2008873927,2.13
1184878.2008873927,2.13
1184978.2008873927,2.13
1185078.2008873927,2.13
1185178.2008873927,2.13
1185278.2008873927,2.13
1185378.2008873927,2.1
1185478.2008873927,2.06
1185578.2008873927,2.05
1185678.2008873927,2.04
1185778.2008873927,2.03
1185878.2008873927,2.03
1185978.2008873927,2.03
1186078.2008873927,2.07
1186178.2008873927,2.08
1186278.2008873927,2.03
1186378.2008873927,2.03
1186478.2008873927,2.03
1186578.2008873927,2.03
1186678.2008873927,1.64
1186778.2008873927,2.01
1186878.2008873927,2.15
1186978.2008873927,2.04
1187078.2008873927,2.05
1187178.2008873927,2.05
1187278.2008873927,2.04
1187378.2008873927,2.07
1187478.2008873927,2.07
1187578.2008873927,2.11
1187678.2008873927,2.04
1187778.2008873927,2.05
1187878.2008873927,2.02
1187978.2008873927,1.99
1188078.2008873927,1.97
1188178.2008873927,1.99
1188278.2008873927,1.99
